Date,Open,High,Low,Close
6/2/2019,8558.95,8606.53,8550,8570.34
6/1/2019,8554.06,8618,8452.21,8558.95
5/31/2019,8279.69,8580,8110,8554.06
5/30/2019,8662.44,9090,7972,8279.69
5/29/2019,8715.36,8760.43,8426.09,8662.44
5/28/2019,8772.29,8822.46,8545,8715.36
5/27/2019,8731.72,8947.88,8611.44,8772.29
5/26/2019,8063.81,8793.97,7881.7,8731.72
5/25/2019,8001.7,8149,7941.25,8063.81
5/24/2019,7881.98,8175,7794.73,8001.7
5/23/2019,7626.48,7984.9,7467.1,7881.98
5/22/2019,7951.7,8044.32,7506.12,7626.48
5/21/2019,7999.54,8112.99,7805.34,7951.7
5/20/2019,8200,8200,7570.31,7999.54
5/19/2019,7262.4,8315,7252.58,8200
5/18/2019,7363.69,7491.22,7204.42,7262.4
5/17/2019,7878.96,7940.75,6600,7363.69
5/16/2019,8203.32,8388,7660.74,7878.96
5/15/2019,7990.92,8308.16,7831.77,8203.32
5/14/2019,7824.93,8350,7621.27,7990.92
5/13/2019,6979.76,8190.55,6864.93,7824.93
5/12/2019,7219.95,7581.82,6755,6979.76
5/11/2019,6343.14,7464.13,6342.98,7219.95
5/10/2019,6153.09,6430,6108.81,6343.14
5/9/2019,5948.41,6171.1,5934.49,6153.09
5/8/2019,5748.45,5990,5656.26,5948.41
5/7/2019,5687.9,5966.37,5687.9,5907.47
5/6/2019,5715.86,5753.66,5564.93,5687.9
5/5/2019,5770.01,5782.22,5627.35,5715.86
5/4/2019,5657.4,5846.88,5512,5770.01
5/3/2019,5390.01,5796.93,5363,5657.4
5/2/2019,5321.15,5422.99,5306.09,5390.01
5/1/2019,5270.69,5358.39,5265.61,5321.15
4/30/2019,5148.25,5285,5126.25,5270.69
4/29/2019,5155,5189.54,5072.01,5148.25
4/28/2019,5170.6,5214.5,5101,5155
4/27/2019,5159.51,5221.24,5117.46,5170.6
4/26/2019,5134.81,5295.03,5041.14,5159.51
4/25/2019,5441.9,5512.12,4963,5134.81
4/24/2019,5532.75,5624.47,5374,5441.9
4/23/2019,5387.6,5650.01,5361.01,5532.75
4/22/2019,5297.64,5440.84,5250.45,5387.6
4/21/2019,5319.89,5349.16,5213.34,5297.64
4/20/2019,5290.37,5359.98,5260.24,5319.89
4/19/2019,5281.81,5359.47,5196.7,5290.37
4/18/2019,5227,5318.18,5222.26,5281.81
4/17/2019,5202.9,5272.32,5173.11,5227
